step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
295,0.5962,0.1559,0.4106,0.1793,hand,0,0
296,0.5962,0.1561,0.4108,0.1795,hand,0,0
297,0.5962,0.1563,0.4109,0.1797,hand,0,0
298,0.5962,0.1565,0.411,0.1799,hand,0,0
299,0.5962,0.1567,0.4111,0.1801,hand,0,0
300,0.5962,0.1569,0.4113,0.1803,hand,0,0
301,0.5962,0.1571,0.4114,0.1805,hand,0,0
302,0.5962,0.1573,0.4115,0.1807,hand,0,0
303,0.5963,0.1575,0.4116,0.1809,hand,0,0
304,0.5963,0.1577,0.4118,0.1811,hand,0,0
305,0.5963,0.1579,0.4119,0.1813,hand,0,0
306,0.5963,0.158,0.412,0.1815,hand,0,0
307,0.5963,0.1582,0.4121,0.1817,hand,0,0
308,0.5963,0.1584,0.4122,0.1819,hand,0,0
309,0.5963,0.1586,0.4124,0.1821,hand,0,0
310,0.5962,0.159,0.4125,0.1825,hand,0,0
311,0.5959,0.1596,0.4128,0.183,hand,0,0
312,0.5957,0.1602,0.413,0.1836,hand,0,0
313,0.5954,0.1609,0.4133,0.1842,hand,0,0
314,0.5951,0.1617,0.4135,0.1849,hand,0,0
315,0.5947,0.1624,0.4138,0.1856,hand,0,0
316,0.5944,0.1631,0.4141,0.1863,hand,0,0
317,0.5941,0.1638,0.4143,0.1869,hand,0,0
318,0.5938,0.1646,0.4146,0.1876,hand,0,0
319,0.5934,0.1653,0.4148,0.1883,hand,0,0
320,0.5931,0.166,0.4151,0.189,hand,0,0
321,0.5928,0.1667,0.4154,0.1896,hand,0,0
322,0.5925,0.1674,0.4156,0.1903,hand,0,0
323,0.5922,0.1681,0.4159,0.1909,hand,0,0
324,0.5919,0.1688,0.4161,0.1916,hand,0,0
325,0.5916,0.1695,0.4164,0.1922,hand,0,0
326,0.5913,0.1702,0.4166,0.1929,hand,0,0
327,0.591,0.1709,0.4169,0.1935,hand,0,0
328,0.5907,0.1716,0.4171,0.1942,hand,0,0
329,0.5904,0.1722,0.4174,0.1948,hand,0,0
330,0.5901,0.1729,0.4176,0.1954,hand,0,0
331,0.5899,0.1734,0.4178,0.196,hand,0,0
332,0.5897,0.1739,0.418,0.1964,hand,0,0
333,0.5896,0.1743,0.4181,0.1968,hand,0,0
334,0.5895,0.1747,0.4183,0.1972,hand,0,0
335,0.5895,0.175,0.4184,0.1975,hand,0,0
336,0.5894,0.1754,0.4185,0.1979,hand,0,0
337,0.5893,0.1757,0.4187,0.1982,hand,0,0
338,0.5893,0.176,0.4188,0.1985,hand,0,0
339,0.5892,0.1764,0.4189,0.1989,hand,0,0
340,0.5892,0.1767,0.419,0.1992,hand,0,0
341,0.5891,0.177,0.4192,0.1995,hand,0,0
342,0.5891,0.1774,0.4193,0.1998,hand,0,0
343,0.589,0.1777,0.4194,0.2002,hand,0,0
344,0.589,0.178,0.4195,0.2005,hand,0,0
345,0.5889,0.1783,0.4196,0.2008,hand,0,0
346,0.5889,0.1786,0.4198,0.2011,hand,0,0
347,0.5888,0.1789,0.4199,0.2014,hand,0,0
348,0.5888,0.1792,0.42,0.2017,hand,0,0
349,0.5887,0.1795,0.4201,0.202,hand,0,0
350,0.5887,0.1798,0.4202,0.2023,hand,0,0
351,0.5887,0.1801,0.4203,0.2026,hand,0,0
352,0.5886,0.1804,0.4204,0.2029,hand,0,0
353,0.5886,0.1806,0.4205,0.2031,hand,0,0
354,0.5886,0.1808,0.4206,0.2033,hand,0,0
355,0.5887,0.181,0.4207,0.2036,hand,0,0
356,0.5887,0.1812,0.4208,0.2038,hand,0,0
357,0.5887,0.1814,0.4209,0.204,hand,0,0
358,0.5887,0.1816,0.421,0.2042,hand,0,0
359,0.5888,0.1818,0.421,0.2044,hand,0,0
360,0.5888,0.182,0.4211,0.2046,hand,0,0
361,0.5888,0.1822,0.4212,0.2048,hand,0,0
362,0.5888,0.1824,0.4213,0.2049,hand,0,0
363,0.5888,0.1825,0.4213,0.2051,hand,0,0
364,0.5889,0.1827,0.4214,0.2053,hand,0,0
365,0.5889,0.1829,0.4215,0.2055,hand,0,0
366,0.5889,0.1831,0.4216,0.2057,hand,0,0
367,0.589,0.1832,0.4217,0.2059,hand,0,0
368,0.589,0.1833,0.4218,0.206,hand,0,0
369,0.589,0.1835,0.4219,0.2061,hand,0,0
370,0.5891,0.1836,0.4219,0.2063,hand,0,0
371,0.5891,0.1836,0.422,0.2064,hand,0,0
372,0.5892,0.1837,0.4221,0.2065,hand,0,0
373,0.5892,0.1838,0.4222,0.2066,hand,0,0
374,0.5892,0.1839,0.4223,0.2068,hand,0,0
375,0.5893,0.184,0.4224,0.2069,hand,0,0
376,0.5893,0.1841,0.4225,0.207,hand,0,0
377,0.5894,0.1842,0.4226,0.2071,hand,0,0
378,0.5894,0.1843,0.4227,0.2072,hand,0,0
379,0.5894,0.1843,0.4228,0.2073,hand,0,0
380,0.5895,0.1844,0.4229,0.2075,hand,0,0
381,0.5895,0.1845,0.423,0.2076,hand,0,0
382,0.5896,0.1846,0.4231,0.2077,hand,0,0
383,0.5896,0.1847,0.4232,0.2078,hand,0,0
384,0.5896,0.1848,0.4233,0.2079,hand,0,0
385,0.5897,0.1846,0.4234,0.2078,hand,0,0
386,0.5897,0.1843,0.4235,0.2076,hand,0,0
