step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
300,0.5961,0.1578,0.4101,0.1803,hand,0,0
301,0.5961,0.1581,0.4101,0.1805,hand,0,0
302,0.5961,0.1584,0.4102,0.1808,hand,0,0
303,0.5961,0.1586,0.4102,0.181,hand,0,0
304,0.5961,0.1589,0.4102,0.1813,hand,0,0
305,0.5961,0.1592,0.4103,0.1815,hand,0,0
306,0.5961,0.1594,0.4103,0.1818,hand,0,0
307,0.5961,0.1597,0.4103,0.182,hand,0,0
308,0.5961,0.16,0.4104,0.1822,hand,0,0
309,0.5961,0.1602,0.4104,0.1825,hand,0,0
310,0.596,0.1605,0.4104,0.1827,hand,0,0
311,0.596,0.1607,0.4105,0.1829,hand,0,0
312,0.596,0.161,0.4105,0.1832,hand,0,0
313,0.596,0.1612,0.4105,0.1834,hand,0,0
314,0.596,0.1615,0.4106,0.1836,hand,0,0
315,0.596,0.1617,0.4106,0.1839,hand,0,0
316,0.596,0.162,0.4106,0.1841,hand,0,0
317,0.596,0.1622,0.4107,0.1843,hand,0,0
318,0.596,0.1625,0.4107,0.1846,hand,0,0
319,0.596,0.1627,0.4107,0.1848,hand,0,0
320,0.596,0.1629,0.4108,0.185,hand,0,0
321,0.596,0.1632,0.4108,0.1852,hand,0,0
322,0.596,0.1634,0.4108,0.1854,hand,0,0
323,0.596,0.1636,0.4108,0.1857,hand,0,0
324,0.596,0.1639,0.4109,0.1859,hand,0,0
325,0.596,0.1641,0.4109,0.1861,hand,0,0
326,0.596,0.1643,0.4109,0.1863,hand,0,0
327,0.596,0.1646,0.411,0.1865,hand,0,0
328,0.596,0.1648,0.411,0.1867,hand,0,0
329,0.596,0.165,0.411,0.1869,hand,0,0
330,0.596,0.1652,0.4111,0.1871,hand,0,0
331,0.596,0.1654,0.4111,0.1873,hand,0,0
332,0.596,0.1656,0.4111,0.1875,hand,0,0
333,0.596,0.1659,0.4112,0.1877,hand,0,0
334,0.596,0.1661,0.4112,0.1879,hand,0,0
335,0.596,0.1663,0.4112,0.1881,hand,0,0
336,0.596,0.1665,0.4113,0.1883,hand,0,0
337,0.596,0.1667,0.4113,0.1885,hand,0,0
338,0.596,0.1669,0.4113,0.1887,hand,0,0
339,0.596,0.1671,0.4114,0.1889,hand,0,0
340,0.596,0.1673,0.4114,0.1891,hand,0,0
341,0.596,0.1675,0.4114,0.1893,hand,0,0
342,0.596,0.1677,0.4115,0.1895,hand,0,0
343,0.596,0.1679,0.4115,0.1897,hand,0,0
344,0.5961,0.1681,0.4115,0.1899,hand,0,0
345,0.5961,0.1683,0.4116,0.1901,hand,0,0
346,0.5961,0.1685,0.4116,0.1902,hand,0,0
347,0.5961,0.1687,0.4116,0.1904,hand,0,0
348,0.5961,0.1689,0.4117,0.1906,hand,0,0
349,0.5961,0.1691,0.4117,0.1908,hand,0,0
350,0.5961,0.1692,0.4117,0.191,hand,0,0
351,0.5961,0.1694,0.4118,0.1911,hand,0,0
352,0.5961,0.1696,0.4118,0.1913,hand,0,0
353,0.5961,0.1698,0.4118,0.1915,hand,0,0
354,0.5961,0.17,0.4119,0.1917,hand,0,0
355,0.5961,0.1702,0.4119,0.1918,hand,0,0
356,0.5961,0.1703,0.4119,0.192,hand,0,0
357,0.5961,0.1705,0.412,0.1922,hand,0,0
358,0.5961,0.1707,0.412,0.1924,hand,0,0
359,0.5961,0.1709,0.412,0.1925,hand,0,0
360,0.5961,0.171,0.4121,0.1927,hand,0,0
361,0.5961,0.1712,0.4121,0.1929,hand,0,0
362,0.5961,0.1714,0.4121,0.193,hand,0,0
363,0.5961,0.1715,0.4122,0.1932,hand,0,0
364,0.5961,0.1717,0.4122,0.1934,hand,0,0
365,0.5961,0.1719,0.4122,0.1935,hand,0,0
366,0.5961,0.172,0.4123,0.1937,hand,0,0
367,0.5961,0.1722,0.4123,0.1938,hand,0,0
368,0.5961,0.1724,0.4123,0.194,hand,0,0
369,0.5961,0.1725,0.4124,0.1942,hand,0,0
370,0.5961,0.1727,0.4124,0.1943,hand,0,0
371,0.5961,0.1728,0.4124,0.1945,hand,0,0
372,0.5961,0.173,0.4125,0.1946,hand,0,0
373,0.5961,0.1732,0.4125,0.1948,hand,0,0
374,0.5961,0.1733,0.4125,0.1949,hand,0,0
375,0.5961,0.1735,0.4126,0.1951,hand,0,0
376,0.5962,0.1736,0.4126,0.1952,hand,0,0
377,0.5962,0.1738,0.4126,0.1954,hand,0,0
378,0.5962,0.1739,0.4127,0.1955,hand,0,0
379,0.5962,0.1741,0.4127,0.1957,hand,0,0
380,0.5962,0.1742,0.4127,0.1958,hand,0,0
381,0.5962,0.1744,0.4128,0.196,hand,0,0
382,0.5962,0.1745,0.4128,0.1961,hand,0,0
383,0.5962,0.1746,0.4128,0.1963,hand,0,0
384,0.5962,0.1748,0.4129,0.1964,hand,0,0
385,0.5962,0.1749,0.4129,0.1965,hand,0,0
386,0.5962,0.1751,0.4129,0.1967,hand,0,0
387,0.5962,0.1752,0.413,0.1968,hand,0,0
388,0.5962,0.1754,0.413,0.197,hand,0,0
389,0.5962,0.1755,0.413,0.1971,hand,0,0
390,0.5962,0.1756,0.4131,0.1972,hand,0,0
391,0.5962,0.1758,0.4131,0.1974,hand,0,0
392,0.5962,0.1759,0.4131,0.1975,hand,0,0
393,0.5963,0.176,0.4132,0.1976,hand,0,0
394,0.5963,0.1762,0.4132,0.1978,hand,0,0
395,0.5963,0.1763,0.4132,0.1979,hand,0,0
396,0.5963,0.1764,0.4133,0.198,hand,0,0
397,0.5963,0.1766,0.4133,0.1982,hand,0,0
398,0.5963,0.1767,0.4133,0.1983,hand,0,0
399,0.5963,0.1768,0.4134,0.1984,hand,0,0
